rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
107,001872,主板A股,3,4,5,12,53.219,0.0735,4611000000.0,22.04,2026-04-03
108,001286,主板A股,4,4,4,12,47.852,0.0947,2417000000.0,10.83,2026-04-03
109,603979,主板A股,0,5,7,12,,0.1792,1753000000.0,62.88,2026-04-17
110,600096,主板A股,0,5,7,12,,0.2187,5156000000.0,33.36,2026-04-17
111,002315,中小板,0,6,6,12,,0.206,504000000.0,44.4,2026-04-22
112,603893,主板A股,0,6,5,11,,0.2579,1040000000.0,170.93,2026-04-17
113,603092,主板A股,0,5,6,11,,0.2394,827000000.0,68.8,2026-04-17
114,689009,主板A股,0,4,7,11,,0.2608,1757999999.9999998,45.53,2026-04-22
115,000729,主板A股,0,5,6,11,,0.1107,1679000000.0,12.81,2026-04-22
116,688049,科创板,0,5,6,11,,0.1046,205000000.0,46.81,2026-04-21
117,603170,主板A股,0,5,6,11,,0.135,192000000.0,13.2,2026-04-17
118,603402,主板A股,0,4,7,11,,0.0,369000000.0,136.9,2026-04-17
119,301004,创业板,0,5,6,11,,0.1863,368000000.0,49.99,2026-04-22
120,300705,创业板,0,5,6,11,,0.1485,406000000.0,13.8,2026-04-22
121,600885,主板A股,0,5,6,11,,0.1723,1757999999.9999998,28.55,2026-04-17
122,001216,主板A股,1,5,5,11,52.3931,0.1059,189000000.0,19.12,2026-04-03
123,300770,创业板,0,5,6,11,,0.1747,660000000.0,40.31,2026-04-21
124,688008,科创板,0,5,6,11,,0.1825,2236000000.0,158.4,2026-04-21
125,003010,主板A股,0,5,6,11,,0.21,194000000.0,31.12,2026-04-21
126,002275,中小板,0,5,6,11,,0.1226999999999999,385000000.0,14.11,2026-04-22
