rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
46,001229,主板A股,4,3,9,16,32.0169,0.0405,40195400.0,35.5,2026-04-03
47,605286,主板A股,5,3,8,16,28.3291,0.0962,199000000.0,41.2,2026-04-10
48,600113,主板A股,4,4,8,16,23.347,0.0588,144000000.0,46.63,2026-04-10
49,000975,主板A股,0,6,10,16,56.4226,0.2155999999999999,2972000000.0,30.0,2026-04-03
50,300795,创业板,0,6,10,16,48.1177,0.2142,137000000.0,11.83,2026-04-13
51,002970,中小板,0,6,10,16,37.7495,0.2029,383000000.0,61.72,2026-04-13
52,603301,主板A股,6,3,7,16,20.7335,0.0356999999999999,203000000.0,81.77,2026-04-10
53,000962,主板A股,6,3,7,16,22.7883,0.0962,258000000.0,40.51,2026-04-03
54,688578,科创板,0,6,10,16,46.5038,0.2792,1616000000.0,95.97,2026-04-13
55,002553,中小板,0,6,10,16,47.6226,0.2653999999999999,346000000.0,24.97,2026-04-13
56,002001,中小板,1,6,9,16,68.5657,0.2187,6764000000.0,38.27,2026-04-13
57,300394,创业板,0,6,10,16,62.7854,0.4191,2017000000.0,351.0,2026-04-13
